Kod,Gmina,Powiat,Wojewodztwo,Rok,Data,Dotacja
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2014,2014-05-09,1485082
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2015,2015-05-18,1410404
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2016,2016-07-17,11021195
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2017,2017-05-03,3650256
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2018,2018-05-08,20388654
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2019,2019-12-04,17125315
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2020,2020-03-04,32333470
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2021,2021-12-19,6927668
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2022,2022-11-27,47658487
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2004,2004-06-24,2151738
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2005,2005-12-05,29116181
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2006,2006-12-14,3888160
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2007,2007-01-09,10786992
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2008,2008-07-20,5345352
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2009,2009-04-30,18465493
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2010,2010-04-02,10335949
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2011,2011-05-22,8877287
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2012,2012-10-26,6600961
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2013,2013-08-23,14922779
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2014,2014-12-29,82078
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2015,2015-04-03,6328515
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2016,2016-10-04,7425277
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2017,2017-07-14,427356
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2018,2018-05-10,7637820
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2019,2019-11-15,14119441
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2020,2020-10-29,11683296
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2021,2021-04-20,3013662
3015043,Nowy Tomyśl (3),Powiat nowotomyski,WIELKOPOLSKIE,2022,2022-11-24,1061309
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2004,2004-08-02,568786
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2005,2005-03-14,53755
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2006,2006-06-11,726571
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2007,2007-10-03,2794188
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2008,2008-04-08,3197640
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2009,2009-01-17,25005277
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2010,2010-01-27,8269523
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2011,2011-06-19,6148344
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2012,2012-03-10,5420993
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2013,2013-04-11,21086645
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2014,2014-07-20,12380355
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2015,2015-02-24,16106601
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2016,2016-04-12,7122889
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2017,2017-05-04,1907924
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2018,2018-02-03,29096773
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2019,2019-11-26,31539056
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2020,2020-04-06,12029240
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2021,2021-05-16,3702327
3019093,Wysoka (3),Powiat pilski,WIELKOPOLSKIE,2022,2022-07-07,9404786
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2004,2004-03-05,427902
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2005,2005-02-14,1505348
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2006,2006-09-27,485153
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2007,2007-02-04,5171395
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2008,2008-09-07,3675028
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2009,2009-11-17,380390
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2010,2010-08-05,5217250
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2011,2011-11-25,6788757
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2012,2012-02-18,2088739
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2013,2013-07-01,12056155
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2014,2014-03-18,19144172
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2015,2015-09-18,34760774
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2016,2016-12-18,1538687
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2017,2017-04-13,56574496
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2018,2018-01-05,4246425
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2019,2019-11-08,29085680
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2020,2020-03-26,58430363
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2021,2021-08-24,5073002
3019083,Wyrzysk (3),Powiat pilski,WIELKOPOLSKIE,2022,2022-12-05,8464014
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2004,2004-06-05,2958494
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2005,2005-07-02,1428053
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2006,2006-05-17,4704292
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2007,2007-11-14,12788470
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2008,2008-05-06,21193968
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2009,2009-07-07,5292382
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2010,2010-10-08,18409016
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2011,2011-04-23,3416971
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2012,2012-06-15,23782001
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2013,2013-11-03,3507684
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2014,2014-04-18,5997950
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2015,2015-06-25,8355928
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2016,2016-02-16,33622599
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2017,2017-03-26,1872100
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2018,2018-08-24,29134200
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2019,2019-01-06,25901435
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2020,2020-09-03,37706251
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2021,2021-06-15,271294
3019073,Ujście (3),Powiat pilski,WIELKOPOLSKIE,2022,2022-10-02,11474430
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2004,2004-10-01,6349921
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2005,2005-10-16,7245231
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2006,2006-12-14,3959486
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2007,2007-04-03,1697301
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2008,2008-08-25,315100
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2009,2009-01-06,18525542
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2010,2010-12-05,15107886
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2011,2011-02-21,20055794
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2012,2012-10-18,17214389
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2013,2013-07-14,12040397
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2014,2014-12-17,621000
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2015,2015-11-03,542678
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2016,2016-02-29,14979547
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2017,2017-01-24,12775586
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2018,2018-07-24,30185976
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2019,2019-05-28,123023527
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2020,2020-09-08,3497228
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2021,2021-11-16,44180012
3019062,Szydłowo (2),Powiat pilski,WIELKOPOLSKIE,2022,2022-05-25,68218956
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2004,2004-09-12,161670
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2005,2005-05-15,75347
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2006,2006-10-06,4363323
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2007,2007-11-24,2781428
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2008,2008-03-19,6203877
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2009,2009-08-17,4075748
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2010,2010-07-01,14983763
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2011,2011-11-08,26809306
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2012,2012-01-12,13108636
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2013,2013-02-24,8406560
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2014,2014-01-08,12426619
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2015,2015-07-18,7025789
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2016,2016-09-10,4262602
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2017,2017-11-13,15052921
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2018,2018-01-17,58944465
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2019,2019-10-22,13422018
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2020,2020-06-18,8359290
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2021,2021-12-22,6222898
3019052,Miasteczko Krajeńskie (2),Powiat pilski,WIELKOPOLSKIE,2022,2022-01-22,8703834
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2004,2004-02-27,145030
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2005,2005-10-07,1445566
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2006,2006-05-06,60331
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2007,2007-05-14,14527499
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2008,2008-03-19,1834088
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2009,2009-07-17,1032185
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2010,2010-02-15,3590446
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2011,2011-12-11,1337995
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2012,2012-09-05,3198537
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2013,2013-02-11,2842709
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2014,2014-08-28,33568098
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2015,2015-11-12,4413577
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2016,2016-07-04,8942290
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2017,2017-02-14,9340398
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2018,2018-10-06,10295775
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2019,2019-02-09,56074996
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2020,2020-01-11,11726770
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2021,2021-11-18,10722420
3019043,Łobżenica (3),Powiat pilski,WIELKOPOLSKIE,2022,2022-12-08,4716418
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2004,2004-11-20,630586
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2005,2005-01-29,515128
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2006,2006-01-27,1231288
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2007,2007-01-12,43393180
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2008,2008-10-26,40414634
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2009,2009-02-13,17841962
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2010,2010-02-14,615493
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2011,2011-07-19,119750970
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2012,2012-11-27,9460709
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2013,2013-01-04,1972302
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2014,2014-06-16,225229023
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2015,2015-06-02,7068934
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2016,2016-02-15,84678
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2017,2017-05-18,20037895
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2018,2018-06-26,9790985
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2019,2019-09-20,13127090
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2020,2020-08-27,6256847
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2021,2021-12-08,1526807
3019032,Kaczory (2),Powiat pilski,WIELKOPOLSKIE,2022,2022-02-16,24701268
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2004,2004-06-24,361242
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2005,2005-07-01,2565337
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2006,2006-06-01,2178826
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2007,2007-10-17,9519596
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2008,2008-12-18,5288352
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2009,2009-04-12,626443
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2010,2010-02-04,1952254
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2011,2011-10-13,2217373
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2012,2012-03-16,13169379
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2013,2013-08-22,30534301
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2014,2014-03-14,4197042
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2015,2015-03-28,13841610
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2016,2016-07-30,26661505
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2017,2017-05-27,1425435
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2018,2018-03-16,26255719
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2019,2019-12-06,14394722
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2020,2020-09-28,15923661
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2021,2021-11-08,6177653
3019022,Białośliwie (2),Powiat pilski,WIELKOPOLSKIE,2022,2022-12-25,31560294
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2004,2004-10-07,6216117
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2005,2005-02-15,3937547
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2006,2006-04-24,1222619
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2007,2007-07-27,2750483
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2008,2008-11-15,5831352
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2009,2009-09-01,10553670
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2010,2010-03-03,2240004
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2011,2011-02-09,15375928
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2012,2012-02-14,19344454
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2013,2013-01-20,3973968
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2014,2014-04-07,16787153
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2015,2015-02-09,1217546
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2016,2016-08-19,16407015
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2017,2017-03-07,94184
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2018,2018-04-26,19290524
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2019,2019-06-17,16750599
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2020,2020-03-24,31513129
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2021,2021-03-11,50497142
3019011,Piła (1),Powiat pilski,WIELKOPOLSKIE,2022,2022-05-06,247400
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2004,2004-07-21,1945125
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2005,2005-03-13,2221775
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2006,2006-06-05,883393
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2007,2007-04-03,5051384
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2008,2008-10-29,3954234
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2009,2009-07-24,370833
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2010,2010-03-19,1762293
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2011,2011-07-10,2837003
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2012,2012-08-06,7668150
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2013,2013-09-11,23718892
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2014,2014-03-24,34366759
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2015,2015-03-24,8016299
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2016,2016-09-11,33585738
3018073,Ostrzeszów (3),Powiat ostrzeszowski,WIELKOPOLSKIE,2017,2017-03-07,3833163
